Date,Open,High,Low,Close,Volume,OpenInt
2005-05-09,16.412,16.483,16.412,16.483,1363,0
2005-05-13,16.511,16.511,15.996,16.027,7746,0
2005-05-16,15.941,16.041,15.941,16.041,2917,0
2005-05-17,16.004,16.088,16.004,16.088,4283,0
2005-05-18,15.895,16.319,15.895,16.319,3921,0
2005-05-19,16.319,16.319,16.319,16.319,972,0
2005-05-20,16.221,16.248,16.221,16.248,878,0
2005-05-23,16.281,16.281,16.266,16.266,3890,0
2005-05-25,16.689,17.413,16.336,16.336,5338,0
2005-05-26,16.289,16.336,16.289,16.319,5060,0
2005-05-27,16.319,16.421,16.295,16.421,6882,0
2005-05-31,16.221,16.232,16.15,16.15,7158,0
2005-06-01,16.142,16.289,16.142,16.221,9998,0
2005-06-03,16.634,16.634,16.188,16.197,4420,0
2005-06-06,16.221,16.221,16.221,16.221,777,0
2005-06-08,16.404,16.404,16.281,16.281,2722,0
2005-06-09,16.289,16.343,16.266,16.336,26728,0
2005-06-10,16.221,16.232,16.188,16.232,4430,0
2005-06-13,16.142,16.24,16.119,16.24,4895,0
2005-06-14,16.248,16.257,16.248,16.257,2269,0
2005-06-15,16.465,16.465,16.295,16.295,2529,0
2005-06-16,16.274,16.343,16.274,16.343,6241,0
2005-06-17,16.351,16.412,16.351,16.412,2236,0
2005-06-20,16.213,16.295,16.213,16.295,3016,0
2005-06-21,16.643,16.643,16.266,16.319,9137,0
2005-06-22,16.574,16.574,16.31,16.31,17046,0
2005-06-23,16.227,16.295,16.213,16.295,2950,0
2005-06-24,16.165,16.165,16.15,16.15,2633,0
2005-06-27,16.064,16.165,16.064,16.158,29655,0
2005-06-28,16.034,16.248,16.034,16.248,3940,0
2005-06-29,16.227,16.227,16.227,16.227,584,0
2005-06-30,16.257,16.257,16.257,16.257,5446,0
2005-07-05,16.08,16.165,16.08,16.165,777,0
2005-07-06,16.257,16.274,16.227,16.227,1570,0
2005-07-07,16.027,16.027,15.888,16.004,24464,0
2005-07-08,16.134,16.266,16.119,16.266,13620,0
2005-07-11,16.336,16.421,16.336,16.421,5158,0
2005-07-12,16.574,16.582,16.574,16.582,777,0
2005-07-13,16.588,16.588,16.448,16.511,2335,0
2005-07-14,16.582,16.627,16.582,16.611,3697,0
2005-07-15,16.465,16.465,16.465,16.465,1559,0
2005-07-18,16.492,16.492,16.456,16.456,4202,0
2005-07-19,16.404,16.404,16.38,16.396,3425,0
2005-07-20,16.396,16.412,16.396,16.412,2335,0
2005-07-21,16.728,16.728,16.274,16.574,9145,0
2005-07-22,16.527,16.527,16.448,16.497,16797,0
2005-07-25,16.113,16.519,16.113,16.511,9106,0
2005-07-27,16.527,16.527,16.527,16.527,1559,0
2005-07-28,16.704,16.758,16.704,16.758,2529,0
2005-07-29,16.588,16.79,16.588,16.713,2139,0
2005-08-01,16.859,16.912,16.859,16.912,4046,0
2005-08-02,16.921,16.974,16.921,16.974,777,0
2005-08-03,17.429,17.429,17.097,17.113,4865,0
2005-08-04,17.051,17.051,16.991,16.991,936,0
2005-08-05,16.929,16.929,16.929,16.929,389,0
